hexagram_id,line,line_name,line_role,line_name_kawaii,chiikawa_line_emotion,soranoeki_line_emotion,chiikawa_line,hachiware_line,usagi_line
1,0,卦,gua,ぐわっ，うごきはじめる…,空へ伸びていく感覚，なんか始まってる…！,いい流れだね！,ヤハー！
1,1,初九，first_yang,ぴょん，でてきた…！,立ち上がる力，出てきた…！,いいスタート！,ピョン
1,2,九二，second_yang,ぐぐっ，のびてる…,伸びていく高揚，増えてる…！,順調だね，ヤハヤハ
1,3,九三，third_yang,どきっ，こわい…,張りつめた緊張，こわい…！,無理しないで，ンーッ
1,4,九四，fourth_yang,くるっ，かわる…？,切り替わる気配，変わった…？,ここ大事だよ，クルッ
1,5,九五，fifth_yang,きらっ，すごい…！,輝きの頂点，すごいッ！！,最高だね！,ウラッ！
1,6,上九，top_yang,どんっ，やりすぎた…！,行きすぎた圧，やりすぎた…！,少し抑えよう，ドン
2,0,卦，gua,ふわっ，ほっとする…,やさしく包まれる安心，ほっとする…,安心だね，ゴロ
2,1,初六，first_yin,ふわり，だいじょうぶかな…,静かに受けとめる，だいじょうぶかな…,受け止めよう，ン
2,2,六二，second_yin,すーっ，やさしい…,やわらかく広がる安心，やさしい…,広がってるね，スー
2,3,六三，third_yin,もやっ，ちょっと重い…,重さを含む包容，ちょっと重い…,抱えすぎないで，ンー
2,4,六四，fourth_yin,ぽかっ，支えてる…,支える落ち着き，支えてる…,いいね，トン
2,5,六五，fifth_yin,ごろっ，安心する…,深く満ちる安定，安心する…,安定してる，ゴロゴロ
2,6,上六，top_yin,べたっ，動けない…,包みすぎる停滞，動けない…,少し離そう，ベタッ
3,0,卦，gua,もやっ，どうしよう…！,迷いながら始まる気配，どうしよう…！,最初はそうだよ，ン？
3,1,初九，first_yang,ぴょこっ，こわい…！,迷いの芽生え，こわい…！,一歩ずつ，ピョン
3,2,六二，second_yin,こそっ，早く行きたい…,進みたい焦り，早く行きたい…,焦らないで，タタッ
3,3,六三，third_yin,どんっ，ぶつかった…！,ぶつかる不安，ぶつかった！,あるあるだよ，ドン
3,4,六四，fourth_yin,すっ，見えた…！,道が見えはじめる，見えた…！,いいね！,スッ
3,5,六五，fifth_yin,ぴかっ，わかってきた…,試行錯誤の前進，わかってきた…,成長してるよ，ウラ
3,6,上六，top_yin,ぐるっ，まだ混乱…,混乱の余波，まだ混乱…,落ち着こう，グル
